Variable,coef,HR,IC95_lo,IC95_hi,se,z,p,n,events,p_fmt,sig
Edad (años),-0.0277,0.973,0.941,1.005,0.0167,-1.657,0.09746319352434751,40,28,0.097,†
"Sexo (1=M, 2=V)",1.0963,2.993,1.29,6.946,0.4295,2.553,0.010694075832571315,40,28,0.011,*
Inmunodeprimido (1=sí),-1.1686,0.311,0.103,0.933,0.5611,-2.083,0.03727298330265261,40,28,0.037,*
IgG basal (índice),-0.2445,0.783,0.64,0.958,0.1028,-2.378,0.017424595878656968,32,21,0.017,*
IgG alta ≥mediana (1),1.7162,5.563,1.78,17.39,0.5815,2.952,0.0031613338877767294,34,23,0.003,**
Eosinófilos (10³/µL),-0.2407,0.786,0.445,1.389,0.2903,-0.829,0.4069270204676636,38,26,0.407,
Eosinofilia >500 (1=sí),0.7861,2.195,0.977,4.929,0.4128,1.904,0.056871185915265965,36,25,0.057,†
Sudamérica (1=sí),0.1937,1.214,0.456,3.229,0.4992,0.388,0.6980217859292239,40,28,0.698,
Años residencia España,0.009,1.009,0.955,1.066,0.0281,0.319,0.7497264912913499,37,27,0.750,
Comorb. inmuno (0/1/2),0.4099,1.507,0.793,2.863,0.3275,1.252,0.21069339406163312,40,28,0.211,
