Variable,Total,Seroneg (n=28),Censurado (n=16),p
─── Variables continuas ───,,,,
  Edad al diagnóstico (años),47.0 (36.0–56.0)  (n=44),47.5 (34.0–54.2),46.5 (37.5–60.0),0.435
  Tiempo residencia España (años),18.0 (9.0–20.0)  (n=40),18.0 (11.0–19.5),20.0 (9.0–21.0),0.417
  IgG basal (índice),3.1 (1.3–6.6)  (n=36),1.7 (1.2–3.4),6.5 (3.6–7.2),0.002
  Eosinófilos basales (10³/µL),0.8 (0.2–1.2)  (n=42),0.4 (0.2–1.0),1.0 (0.7–1.6),0.068
  Tiempo hasta seroneg. (meses)*,5.7 (2.8–11.0)  (n=40),7.0 (3.2–11.0),2.9 (2.0–13.2),0.452
─── Variables categóricas ───,,,,
  Sexo,25 (56.8%),14 (50.0%),11 (68.8%),0.373
    ↳ Varón,19 (43.2%),14 (50.0%),5 (31.2%),
  Origen Ecuador vs. Otro,15 (34.1%),10 (35.7%),5 (31.2%),1.000
    ↳ Otro,29 (65.9%),18 (64.3%),11 (68.8%),
  Origen Sudamérica vs. Otro,36 (81.8%),23 (82.1%),13 (81.2%),1.000
    ↳ Otro,8 (18.2%),5 (17.9%),3 (18.8%),
  Residencia ≤10 vs. >10 años,11 (27.5%),7 (25.9%),4 (30.8%),1.000
    ↳ >10 años,29 (72.5%),20 (74.1%),9 (69.2%),
  Estado inmune,40 (90.9%),24 (85.7%),16 (100.0%),0.280
    ↳ Inmunodeprimido,4 (9.1%),4 (14.3%),0 (0.0%),
  Comorbilidad inmunológica,27 (61.4%),15 (53.6%),12 (75.0%),0.284
    ↳ Afecta sist. inmune,15 (34.1%),11 (39.3%),4 (25.0%),
    ↳ Sin efecto inmune,2 (4.5%),2 (7.1%),0 (0.0%),
  Pauta ivermectina,23 (52.3%),15 (53.6%),8 (50.0%),0.247
    ↳ DOBLE_CONSECUTIVA,10 (22.7%),4 (14.3%),6 (37.5%),
    ↳ DOBLE_SEPARADA,7 (15.9%),6 (21.4%),1 (6.2%),
    ↳ CUADRUPLE,4 (9.1%),3 (10.7%),1 (6.2%),
  Eosinofilia basal (>500/µL),23 (57.5%),12 (48.0%),11 (73.3%),0.215
    ↳ 2.0,17 (42.5%),13 (52.0%),4 (26.7%),
  Microscopia basal positiva,6 (31.6%),2 (20.0%),4 (44.4%),0.350
    ↳ 0.0,13 (68.4%),8 (80.0%),5 (55.6%),
  Método diagnóstico,31 (70.5%),20 (71.4%),11 (68.8%),0.022
    ↳ Sero + Micro,4 (9.1%),0 (0.0%),4 (25.0%),
    ↳ Solo microbiológica,2 (4.5%),2 (7.1%),0 (0.0%),
    ↳ Sin confirmar pre-TTO,7 (15.9%),6 (21.4%),1 (6.2%),
